Ms. 638,Registre de dépenses journalières de la famille Toulemonde,1918,1918,français|fre,papier,manuscrit,94 feuillets (61-94 blancs),195 x 250 mm,"Reliure toile simili-cuir noir, décor à encadrements sur les plats, titre à l’or sur le plat","Registre de tenue de comptes qui semble avoir appartenu à la famille Toulemonde, une famille d’industriels filateur de Roubaix. Le registre reprend en détails l’ensemble des recettes et des dépenses journalières du couple et de ses enfants pour la période couvrant janvier à décembre 1918. On peut y lire, par exemple, les dépenses effectuées pour l’intendance de la maison (gages du personnel), les frais engagés lors de voyage (frais de table, pourboires), les sommes versées aux bonnes œuvres, les divers frais relatifs aux membres de la famille (habillement, coiffure, parfumerie, mercerie, papeterie, cadeaux) et les frais dits « menus plaisirs » tels que l’abonnement à la bibliothèque ou à des cours de pianos. ",Don de Bernard Grelle en novembre 1999,,,Famille Toulemonde,,,,,,,,,
Ms. 639,Cahier de travaux de couture,1912,1912,français|fre,papier,manuscrit,16 feuillets,300 x 240 mm,Reliure piqûre,"Cahier de cours de couture de l’Institut Sévigné de Roubaix appartenant à l’élève G. Collette. Cahier de présentation des travaux scolaires de l’année 1912, notés et commentés à l’encre rouge par le professeur. Contient des exercices pratiques de travaux de couture sous la forme de nombreux empiècements de tissus collés. Comprend également des feuillets volants liés aux devoirs scolaires de l’élève : brouillons de dissertation littéraires et d’opérations arithmétiques.",Provenance inconnue,,,"G. Colette|Colette, G.",,,,,,,,,
Ms. 640,Cahier de poésies,XXe siècle,1901/2000,français|fre,papier,manuscrit,65 feuillets ,225 x 175 mm,"Reliure piqûre, dos toilé","Recueil manuscrit de poèmes. Les textes recopiés dans ce cahier furent composés pour diverses occasions festives. On peut lire notamment des textes sous forme de « compliments » pour la fête des mères, pour la fête des pères et pour la fête des grand-parents. L’auteur du cahier a également recopié des  prières, des fables, des chants  ainsi que des « vœux » pour le Nouvel An et des « toast » de mariage, petit discours prononcé lors de ce type d’événement.",Don de Bernard Grelle en novembre 1999,,,,,,,,,,,,
Ms. 641,Cours de technologie textile,XXe siècle,1901/2000,français|fre,papier,manuscrit,67 feuillets,220 x 175 mm,"Brochure souple, tranches jaspées","Cahier d’apprenti. Cours de technologie textile recueilli par un élève du Centre d’apprentissage de Tourcoing. L’enseignement porte sur la classification des différentes matières et fibres textiles, les diverses opérations de filature de laine et de coton ainsi que sur la mécanique des machines. Nombreux dessins et schémas explicatifs des machines (plans, coupes longitudinales) sur des feuillets imprimés et collés dans le cahier. ",Achat Thiébaut en mars 2002,,,,,,,,,,,,
Ms. 642,Livret d’apprentissage,1922-1928,1922/1928,français|fre,papier,manuscrit,12 feuillets,180 x 110 mm,"Reliure piqûre, étiquette manuscrite sur le plat","Livret d’apprentissage de Simone Leclercq, jeune roubaisienne âgée de 13 ans. Délivré le 2 mai 1922 par la mairie de Roubaix, il précise l’état civil, le lieu de résidence, la profession exercée et le nom du maître chez lequel l’apprentie travaille. Cette dernière était tenue de faire contrôler et viser son livret, à l’entrée comme à la sortie de l’atelier, par le patron qui l’employait. Le document indique également la durée des contrats et la nature des emplois occupés par son titulaire. Simone Leclercq a été successivement apprentie bonnetière, apprentie lingère et apprentie raccoutreuse en bonneterie dans les usines textiles de la ville de Roubaix de mai 1922 à mars 1928. Pour les apprentis de moins de 13 ans, le livret était remis sur attestation du certificat d’études primaires.",Achat de la Collection F. Bohée,,,"Simone Leclercq|Leclercq, Simone",,,,,,,,,
Ms. 643,Livret d’apprentissage,1929-1932,1929/1932,français|fre,papier,manuscrit,12 feuillets,170 x 110 mm,"Reliure piqûre, dos toilé, étiquette dactylographiée sur le plat","Livret d’apprentissage de Denise Françoise, jeune roubaisienne âgée de 13 ans. Délivré le 21 septembre 1929 par la mairie de Roubaix, il précise l’état civil, le lieu de résidence, la profession exercée et le nom du maître chez lequel l’apprentie travaille. Cette dernière était tenue de faire contrôler et viser son livret, à l’entrée comme à la sortie de l’atelier, par le patron qui l’employait. Le document indique également la durée des contrats et la nature des emplois occupés par son titulaire. Denise Françoise a été apprentie piqurière dans les usines textiles de la ville de Roubaix de septembre 1929 à mars 1932 et apprentie empaqueteuse à la Manufacture des Biscuits « Union ». Pour les apprentis de moins de 13 ans, le livret était remis sur attestation du certificat d’études primaires. ",Achat de la Collection F. Bohée,,,"Denise François|François, Denise",,,,,,,,,
Ms. 644,Livret d’apprentissage,1923-1926,1923/1926,français|fre,papier,manuscrit,12 feuillets,170 x 110 mm,"Reliure piqûre, étiquette manuscrite sur le plat","Livret d’apprentissage de Gustave De Moor, jeune roubaisien âgé de 13 ans. Délivré le 26 octobre 1923 par la mairie de Roubaix, il précise l’état civil, le lieu de résidence, la profession exercée et le nom du maître chez lequel l’apprenti travaille. Ce dernier était tenu de faire contrôler et viser son livret, à l’entrée comme à la sortie de l’atelier, par le patron qui l’employait. Le document indique également la durée des contrats et la nature des emplois occupés par son titulaire. Gustave De Moor a été employé successivement comme bacleur, varouleur et continueur dans les filatures de coton de la ville de Roubaix et de La Madeleine d’avril 1924 à mai 1926. Pour les apprentis de moins de 13 ans, le livret était remis sur attestation du certificat d’études primaires.",Achat de la Collection F. Bohée,,,"Gustave De Moor|De Moor, Gustave",,,,,,,,,
Ms. 645,Carnet de formules d’algèbre et de géométrie,1935,1935,français|fre,papier,manuscrit,50 feuillets (16-50 blancs),150 x 100 mm,Reliure piqûre,"Carnet de formules d’algèbre et de géométrie appartenant à Georges Vanmeenen, élève de l’institution Saint Louis de Roubaix en 1935. Le carnet est rempli des deux côtés et comporte une matière différente selon le sens de l'ouverture. Début du carnet : Formulaires de géométrie (fol. 1-15). Fin du carnet (folioté en remontant vers le début du carnet) : Formulaires d’algèbre (fol. 1-26 a tergo).",Provenance inconnue,,,"Georges Vanmeenen|Vanmeenen, Georges",,,,,,,,,
Ms. 646,Agenda scolaire d’un élève de 1ère ,1934-1935,1934-1935,français|fre,papier,manuscrit,62 feuillets,170 x 110 mm,"Cahier unique cousu, couverture papier toilée au dos, plat supérieur imprimé","Agenda scolaire appartenant à Georges Vanmeenen, élève en classe de « 1ère-Brevet » à l’institution Saint Louis de Roubaix. Contient le report journalier des devoirs scolaires à effectuer et des leçons à étudier (fol. 2-61v). Emploi du temps de la semaine en fin de carnet (fol. 62v). L’agenda couvre la période du 1er octobre 1934 au 24 février 1935.",Provenance inconnue,,,"Georges Vanmeenen|Vanmeenen, Georges",,,,,,,,,
Ms. 647,Carnet de maximes,XXe siècle,1901/2000,français|fre,papier,manuscrit,63 feuillets (16-63 blancs),180 x 115 mm,"Demi-reliure toile, plats papiers bleus, tranche rouge","Recueil manuscrit de maximes. Le carnet a appartenu à Suzanne Dereux. Les textes recopiés dans ce carnet furent composés à l’origine par divers auteurs, poètes, romanciers et philosophes français (fol. 1-15v). ",Don de Bernard Grelle en novembre 1999,,,"Suzanne Dereux|Dereux, Suzanne",,,,,,,,,
Ms. 648,Extraits d’articles de la « Gazette de Flandre et d’Artois »,1833-1834,1833/1834,français|fre,papier chiffon,manuscrit,54 feuillets,180 x 140 mm,"Cahier unique cousu, couverture papier","Recueil contenant la copie manuscrite d’extraits d’articles parus dans un quotidien de la presse locale, la « Gazette de Flandre et d’Artois, journal des intérêts communaux ». La période de parution du journal, dont le siège fut à Lille, couvre les années 1833 à 1854. Contient également des extraits du « Journal des conseillers municipaux » (fol. 26-34v) ; des extraits du journal « L’Union » (fol. 35-39) ; des extraits du journal « L’ami de la religion » (fol. 39v-49).",Achat auprès de l’Hôtel des ventes de Douai en avril 2009 ( 100 euros),,,,,,,,,,,,
Ms. 649,Livret d’ouvrier,1822-1834,1822/1834,français|fre,papier,manuscrit,12 feuillets,150 x 95 mm,"Cahier unique cousu, couverture papier","Livret d’ouvrier d’une jeune roubaisienne âgée de 15 ans, Hyacinthe Lecomte, délivré le 18 octobre 1822 et portant le sceau de la municipalité de Roubaix. Document officiel instauré sous le Consulat par la loi du 22 Germinal de l’An XI (12 avril 1803), il fut obligatoire jusqu’en 1890. Délivré par le maire de la commune, il précise l’état civil, la description physique, le lieu de résidence, la profession exercée et le nom du maître chez qui l’ouvrier ou l’apprenti travaille. Ce dernier était tenu de faire contrôler et viser son livret, à l’entrée comme à la sortie de l’atelier, par le maître qui l’employait. Le document indique également la nature des emplois occupés par son titulaire et la durée des contrats.",Don de Bernard Grelle,,,"Hyacinthe Lecomte|Lecomte, Hyacinthe",,,,,,,,,
Ms. 650,Carnet de poésies,XXe siècle,1901/2000,français|fre,papier,manuscrit,35 feuillets (19-31 blancs),150 x 95 mm,"Reliure piqûre, plat supérieur imprimé","Recueil manuscrit de poèmes et de chansons. A pu appartenir à Suzanne Collette dont on retrouve le nom inscrit au crayon en fin de carnet. Sur la couverture du carnet, on lit la mention suivante : « Institut Sévigné. Roubaix. Fournitures gratuites ». Selon la foliotation d’origine, il manque trois feuillets au début du carnet. ",Don de Bernard Grelle,,,"Suzanne Collette|Collette, Suzanne",,,,,,,,,
Ms. 651,Carnet de loyers,1902-1908,1902/1908,français|fre,papier,manuscrit,38 feuillets ,150 x 95 mm,"Cahier unique cousu, couverture papier","Carnet de reçus de loyers concernant le logement occupé par Louis Patin. Commencé le 1er février 1902. On lit sur chaque feuillet du carnet : la date, la somme perçue (15 francs) et le nom du locataire. Signature du propriétaire sur des timbres de « quittances, reçus et décharges » d’une valeur de 10 centimes.  ",Don de Bernard Grelle,,,,,,,,,,,,
Ms. 652,Livret de location de maison,1908-1912,1908/1912,français|fre,papier,manuscrit,9 feuillets,150 x 95 mm,"Cahier unique cousu, couverture papier, plat supérieur imprimé","Livret de location de maison appartenant au dénommé Louis Patin. Au fol. 1-2, on lit : les noms du propriétaire, un dénommé Casimir Bonnet, et du locataire, l’adresse du logement occupé et le montant du loyer à payer. Il est fait également mention, pour chaque partie concernée, des engagements contractuels qui régissent la location de l’habitation. Les feuillets suivants concernent les quittances de loyers reçues : signature du propriétaire sur des timbres de « quittances, reçus et décharges » d’une valeur de 10 centimes.",Don de Bernard Grelle,,,"Louis Patin|Patin, Louis",,,,,,,,,
Ms. 653,Livret de location de maison,1905-1913,1905/1913,français|fre,papier,manuscrit,11 feuillets,150 x 95 mm,"Reliure piqûre, plat supérieur imprimé","Livret de location de maison appartenant au dénommé Honoré Pondeville. Au fol. 1-2, on lit : les noms du propriétaire, un dénommé Elie Noclain Pluquet, et du locataire, l’adresse du logement occupé et le montant du loyer à payer. Il est fait également mention, pour chaque partie concernée, des engagements contractuels qui régissent la location de l’habitation. Les feuillets suivants concernent les quittances de loyers reçues : signature du propriétaire sur des timbres de « quittances, reçus et décharges » d’une valeur de 10 centimes. Contient également une quittance de paiement relatif au ramonage de la cheminée du logement occupé, mesure obligatoire à laquelle devait se conformer le locataire tous les ans sous peine d’une amende prévue par la loi.",Don de Bernard Grelle,,,"Honoré Pondeville|Pondeville, Honoré",,,,,,,,,
Ms. 654,Livret de location de maison,1840-1873,1840/1873,français|fre,papier,manuscrit,11 feuillets,150 x 95 mm,Reliure papier à coutures surjetées,"Livret de location de maison appartenant au dénommé Louis Florien. Les premiers feuillets sont manquants, ils indiquaient à l’origine les noms du propriétaire et de son locataire, l’adresse du logement occupé et le montant du loyer à payer, seule subsiste la dernière page du contrat d’engagement signée. Les feuillets suivants concernent les quittances de loyers reçues avec les dates de paiement signées par la propriétaire, une dénommée Élise Gadenne. ",Don de Bernard Grelle,,,"Louis Florien|Florien, Louis",,,,,,,,,
